Entry,Pathway
Q70KH6,"PATHWAY: Antibiotic biosynthesis. {ECO:0000305|PubMed:14700630, ECO:0000305|PubMed:15612710, ECO:0000305|PubMed:18855960}.; PATHWAY: Polyketide biosynthesis. {ECO:0000305|PubMed:14700630, ECO:0000305|PubMed:15612710, ECO:0000305|PubMed:18855960}."
Q83XP3,"PATHWAY: Antibiotic biosynthesis. {ECO:0000269|PubMed:26240322, ECO:0000305|PubMed:12725858}."
Q83YH3,"PATHWAY: Carotenoid biosynthesis; spheroidene biosynthesis. {ECO:0000305|PubMed:12664193, ECO:0000305|PubMed:19136077}.; PATHWAY: Carotenoid biosynthesis; spirilloxanthin biosynthesis. {ECO:0000305|PubMed:12664193, ECO:0000305|PubMed:19136077}."
Q8IBI5,PATHWAY: Cofactor biosynthesis; iron-sulfur cluster biosynthesis. {ECO:0000305}.
Q8IEK7,PATHWAY: Cofactor biosynthesis; iron-sulfur cluster biosynthesis. {ECO:0000305}.
Q8IKT4,PATHWAY: Cofactor biosynthesis; iron-sulfur cluster biosynthesis. {ECO:0000305}.
Q8IPZ3,PATHWAY: Cofactor biosynthesis; ubiquinone biosynthesis. {ECO:0000269|PubMed:37884807}.
Q8KN66,"PATHWAY: Bacterial outer membrane biogenesis; LPS O-antigen biosynthesis. {ECO:0000269|PubMed:10627048, ECO:0000305|PubMed:18065759}."
Q9KN86,"PATHWAY: Cell wall degradation; peptidoglycan degradation. {ECO:0000269|PubMed:23834664, ECO:0000269|PubMed:30782657, ECO:0000269|PubMed:32393643}."
Q9KU93,PATHWAY: Cell wall degradation; peptidoglycan degradation. {ECO:0000269|PubMed:30782657}.
Q9KUL5,PATHWAY: Cell wall degradation; peptidoglycan degradation. {ECO:0000269|PubMed:30782657}.
Q9L391,PATHWAY: Pigment biosynthesis. {ECO:0000269|PubMed:11790734}.
Q9RHD7,"PATHWAY: Bacterial outer membrane biogenesis; LPS O-antigen biosynthesis. {ECO:0000269|PubMed:10627048, ECO:0000305|PubMed:10931835, ECO:0000305|PubMed:18065759}."
Q9UVF9,"PATHWAY: Glycan degradation; xylan degradation. {ECO:0000255|PROSITE-ProRule:PRU01097, ECO:0000269|PubMed:16668223}."
Q9VBV8,PATHWAY: Protein modification; protein glycosylation. {ECO:0000269|PubMed:29870719}.
Q9VC03,"PATHWAY: Cofactor biosynthesis; NAD(+) biosynthesis; NAD(+) from nicotinamide D-ribonucleotide: step 1/1. {ECO:0000255|RuleBase:RU362021, ECO:0000269|PubMed:17132048, ECO:0000269|PubMed:19403820, ECO:0000269|PubMed:26616331}.; PATHWAY: Cofactor biosynthesis; NAD(+) biosynthesis; deamido-NAD(+) from nicotinate D-ribonucleotide: step 1/1. {ECO:0000305}."
Q9VHK6,PATHWAY: Cofactor biosynthesis; iron-sulfur cluster biosynthesis. {ECO:0000269|PubMed:27738674}.
Q9VJ31,PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway. {ECO:0000250|UniProtKB:Q93088}.
Q9ZPL5,PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; L-cystathionine from O-succinyl-L-homoserine: step 1/1. {ECO:0000269|PubMed:10595588}.
V9TS54,"PATHWAY: Glycan degradation; xylan degradation. {ECO:0000255|RuleBase:RU362015, ECO:0000269|PubMed:24262572}."
W1QET1,PATHWAY: tRNA modification; 5-methoxycarbonylmethyl-2-thiouridine-tRNA biosynthesis. {ECO:0000305}.; PATHWAY: Cofactor biosynthesis; molybdopterin biosynthesis. {ECO:0000269|PubMed:33617956}.
