Entry,Catalytic activity
A0A7T8F1M6,"CATALYTIC ACTIVITY: Reaction=4-{[(2S,5S)-5-[(4-hydroxyphenyl)methyl]-2,5-dihydropyrazin-2-yl]methyl}phenol + 2 NADPH + 2 H(+) = (S,S)-2,5-di-(p-hydroxybenzyl)piperazine + 2 NADP(+); Xref=Rhea:RHEA:62928, ChEBI:CHEBI:15378, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349, ChEBI:CHEBI:145881, ChEBI:CHEBI:145882; Evidence={ECO:0000269|PubMed:33372776}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:62929; Evidence={ECO:0000269|PubMed:33372776};"
A0A7T8F1M9,"CATALYTIC ACTIVITY: Reaction=(1S,4S)-4-[(4-hydroxyphenyl)methyl]-2,5-diazaspiro[bicyclo[3.2.1]octane-6,1'-cyclohexane]-2',5'-dien-4'-one + 2 NADPH + 2 H(+) = (1S,4S)-4-[(4-hydroxyphenyl)methyl]-2,5-diazaspiro[bicyclo[3.2.1]octane-6,1'-cyclohexan]-4'-one + 2 NADP(+); Xref=Rhea:RHEA:83583, ChEBI:CHEBI:15378, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349, ChEBI:CHEBI:233174, ChEBI:CHEBI:233175; Evidence={ECO:0000269|PubMed:33372776}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:83584; Evidence={ECO:0000269|PubMed:33372776};"
A0A7T8F1N2,"CATALYTIC ACTIVITY: Reaction=(1S,3S,6S,7S,8R)-7-hydroxy-6-[(4-methoxyphenyl)methyl]-3-(methylamino)-5-azatricyclo[6.3.1.0(1,5)]dodecan-9-one + NADPH + H(+) = (1S,3S,6S,7S,8S,9S)-6-[(4-methoxyphenyl)methyl]-3-(methylamino)-5-azatricyclo[6.3.1.0(1,5)]dodecane-7,9-diol + NADP(+); Xref=Rhea:RHEA:83611, ChEBI:CHEBI:15378, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349, ChEBI:CHEBI:233181, ChEBI:CHEBI:233182; Evidence={ECO:0000269|PubMed:33372776}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:83612; Evidence={ECO:0000269|PubMed:33372776};"
A0A7T8J1U7,"CATALYTIC ACTIVITY: Reaction=5-phospho-beta-D-ribosylamine + L-glutamate + diphosphate = 5-phospho-alpha-D-ribose 1-diphosphate + L-glutamine + H2O; Xref=Rhea:RHEA:14905, ChEBI:CHEBI:15377, ChEBI:CHEBI:29985, ChEBI:CHEBI:33019, ChEBI:CHEBI:58017, ChEBI:CHEBI:58359, ChEBI:CHEBI:58681; EC=2.4.2.14; Evidence={ECO:0000305|PubMed:33372776}; PhysiologicalDirection=right-to-left; Xref=Rhea:RHEA:14907; Evidence={ECO:0000305|PubMed:33372776};"
A0A7T8J1Z8,"CATALYTIC ACTIVITY: Reaction=(1S,4S)-4-[(4-hydroxyphenyl)methyl]-2,5-diazaspiro[bicyclo[3.2.1]octane-6,1'-cyclohexan]-4'-one + S-adenosyl-L-methionine = (1S,4S)-4-[(4-methoxyphenyl)methyl]-2,5-diazaspiro[bicyclo[3.2.1]octane-6,1'-cyclohexan]-4'-one + S-adenosyl-L-homocysteine + H(+); Xref=Rhea:RHEA:83591, ChEBI:CHEBI:15378, ChEBI:CHEBI:57856, ChEBI:CHEBI:59789, ChEBI:CHEBI:233175, ChEBI:CHEBI:233177; Evidence={ECO:0000269|PubMed:33372776}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:83592; Evidence={ECO:0000269|PubMed:33372776}; CATALYTIC ACTIVITY: Reaction=(1S,4S)-4-[(4-hydroxyphenyl)methyl]-2-methyl-2,5-diazaspiro[bicyclo[3.2.1]octane-6,1'-cyclohexan]-4'-one + S-adenosyl-L-methionine = (1S,4S)-4-[(4-methoxyphenyl)methyl]-2-methyl-2,5-diazaspiro[bicyclo[3.2.1]octane-6,1'-cyclohexan]-4'-one + S-adenosyl-L-homocysteine + H(+); Xref=Rhea:RHEA:83595, ChEBI:CHEBI:15378, ChEBI:CHEBI:57856, ChEBI:CHEBI:59789, ChEBI:CHEBI:233176, ChEBI:CHEBI:233178; Evidence={ECO:0000269|PubMed:33372776}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:83596; Evidence={ECO:0000269|PubMed:33372776};"
A0A7U2MMF3,"CATALYTIC ACTIVITY: Reaction=a primary alcohol + NAD(+) = an aldehyde + NADH + H(+); Xref=Rhea:RHEA:10736, ChEBI:CHEBI:15378, ChEBI:CHEBI:15734, ChEBI:CHEBI:17478, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.1.1.1; Evidence={ECO:0000250|UniProtKB:P11766}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:10737; Evidence={ECO:0000250|UniProtKB:P11766}; CATALYTIC ACTIVITY: Reaction=a secondary alcohol + NAD(+) = a ketone + NADH + H(+); Xref=Rhea:RHEA:10740, ChEBI:CHEBI:15378, ChEBI:CHEBI:17087, ChEBI:CHEBI:35681, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.1.1.1; Evidence={ECO:0000250|UniProtKB:P11766}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:10741; Evidence={ECO:0000250|UniProtKB:P11766};"
A0A7U2MSD6,"CATALYTIC ACTIVITY: Reaction=O-phospho-L-seryl-[protein] + H2O = L-seryl-[protein] + phosphate; Xref=Rhea:RHEA:20629, Rhea:RHEA-COMP:9863, Rhea:RHEA-COMP:11604, ChEBI:CHEBI:15377, ChEBI:CHEBI:29999, ChEBI:CHEBI:43474, ChEBI:CHEBI:83421; EC=3.1.3.16; Evidence={ECO:0000269|PubMed:37754565}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:20630; Evidence={ECO:0000269|PubMed:37754565}; CATALYTIC ACTIVITY: Reaction=O-phospho-L-threonyl-[protein] + H2O = L-threonyl-[protein] + phosphate; Xref=Rhea:RHEA:47004, Rhea:RHEA-COMP:11060, Rhea:RHEA-COMP:11605, ChEBI:CHEBI:15377, ChEBI:CHEBI:30013, ChEBI:CHEBI:43474, ChEBI:CHEBI:61977; EC=3.1.3.16; Evidence={ECO:0000305|PubMed:37754565}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:47005; Evidence={ECO:0000305|PubMed:37754565};"
A0A7U2QYM2,"CATALYTIC ACTIVITY: Reaction=L-lysyl-[protein] + acetyl-CoA = N(6)-acetyl-L-lysyl-[protein] + CoA + H(+); Xref=Rhea:RHEA:45948, Rhea:RHEA-COMP:9752, Rhea:RHEA-COMP:10731, ChEBI:CHEBI:15378, ChEBI:CHEBI:29969, ChEBI:CHEBI:57287, ChEBI:CHEBI:57288, ChEBI:CHEBI:61930; EC=2.3.1.48; Evidence={ECO:0000269|PubMed:39601562}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:45949; Evidence={ECO:0000269|PubMed:39601562}; CATALYTIC ACTIVITY: Reaction=benzoyl-CoA + L-lysyl-[protein] = N(6)-benzoyl-L-lysyl-[protein] + CoA + H(+); Xref=Rhea:RHEA:83531, Rhea:RHEA-COMP:9752, Rhea:RHEA-COMP:20154, ChEBI:CHEBI:15378, ChEBI:CHEBI:29969, ChEBI:CHEBI:57287, ChEBI:CHEBI:57369, ChEBI:CHEBI:233144; Evidence={ECO:0000269|PubMed:39601562}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:83532; Evidence={ECO:0000269|PubMed:39601562};"
A0A8I6GJ95,"CATALYTIC ACTIVITY: Reaction=L-fucose + NAD(+) = L-fucono-1,5-lactone + NADH + H(+); Xref=Rhea:RHEA:81515, ChEBI:CHEBI:2181, ChEBI:CHEBI:15378, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945, ChEBI:CHEBI:81457; EC=1.1.1.122; Evidence={ECO:0000269|PubMed:38944119}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:81516; Evidence={ECO:0000305|PubMed:38944119}; CATALYTIC ACTIVITY: Reaction=D-arabinose + NAD(+) = D-arabinono-1,5-lactone + NADH + H(+); Xref=Rhea:RHEA:81519, ChEBI:CHEBI:15378, ChEBI:CHEBI:46994, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945, ChEBI:CHEBI:194242; EC=1.1.1.122; Evidence={ECO:0000269|PubMed:38944119}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:81520; Evidence={ECO:0000305|PubMed:38944119}; CATALYTIC ACTIVITY: Reaction=L-galactose + NAD(+) = L-galactono-1,5-lactone + NADH + H(+); Xref=Rhea:RHEA:81523, ChEBI:CHEBI:15378, ChEBI:CHEBI:37619, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945, ChEBI:CHEBI:182410; EC=1.1.1.122; Evidence={ECO:0000269|PubMed:38944119}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:81524; Evidence={ECO:0000305|PubMed:38944119};"
A0A8I6GM68,"CATALYTIC ACTIVITY: Reaction=N(6)-acetyl-L-lysyl-[protein] + H2O = L-lysyl-[protein] + acetate; Xref=Rhea:RHEA:58108, Rhea:RHEA-COMP:9752, Rhea:RHEA-COMP:10731, ChEBI:CHEBI:15377, ChEBI:CHEBI:29969, ChEBI:CHEBI:30089, ChEBI:CHEBI:61930; Evidence={ECO:0000250|UniProtKB:Q9UBN7}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:58109; Evidence={ECO:0000250|UniProtKB:Q9UBN7}; CATALYTIC ACTIVITY: Reaction=N(6)-acetyl-L-lysyl-[alpha-tubulin] + H2O = L-lysyl-[alpha-tubulin] + acetate; Xref=Rhea:RHEA:21548, Rhea:RHEA-COMP:11278, Rhea:RHEA-COMP:11279, ChEBI:CHEBI:15377, ChEBI:CHEBI:29969, ChEBI:CHEBI:30089, ChEBI:CHEBI:61930; Evidence={ECO:0000250|UniProtKB:Q9UBN7}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:21549; Evidence={ECO:0000250|UniProtKB:Q9UBN7};"
A0A8J1LLF7,CATALYTIC ACTIVITY: Reaction=Endonucleolytic cleavage to 5'-phosphomonoester.; EC=3.1.26.3; Evidence={ECO:0000250|UniProtKB:B3DLA6};
A0A8V0ZB02,"CATALYTIC ACTIVITY: Reaction=Ca(2+)(in) = Ca(2+)(out); Xref=Rhea:RHEA:29671, ChEBI:CHEBI:29108; Evidence={ECO:0000250|UniProtKB:Q5T3F8}; CATALYTIC ACTIVITY: Reaction=Mg(2+)(in) = Mg(2+)(out); Xref=Rhea:RHEA:29827, ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:Q3TWI9}; CATALYTIC ACTIVITY: Reaction=K(+)(in) = K(+)(out); Xref=Rhea:RHEA:29463, ChEBI:CHEBI:29103; Evidence={ECO:0000250|UniProtKB:Q5T3F8}; CATALYTIC ACTIVITY: Reaction=Na(+)(in) = Na(+)(out); Xref=Rhea:RHEA:34963, ChEBI:CHEBI:29101; Evidence={ECO:0000250|UniProtKB:Q5T3F8}; CATALYTIC ACTIVITY: Reaction=Cs(+)(in) = Cs(+)(out); Xref=Rhea:RHEA:78555, ChEBI:CHEBI:49547; Evidence={ECO:0000250|UniProtKB:Q3TWI9};"
A0A974H8H3,CATALYTIC ACTIVITY: Reaction=Endonucleolytic cleavage to 5'-phosphomonoester.; EC=3.1.26.3; Evidence={ECO:0000250|UniProtKB:B3DLA6};
A0A9E7LUJ4,"CATALYTIC ACTIVITY: Reaction=tetrahydroalstonine + A + reduced [NADPH--hemoprotein reductase] + O2 = alstonine + AH2 + oxidized [NADPH--hemoprotein reductase] + 2 H2O + H(+); Xref=Rhea:RHEA:58128, Rhea:RHEA-COMP:11964, Rhea:RHEA-COMP:11965, ChEBI:CHEBI:13193, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17499, ChEBI:CHEBI:57618, ChEBI:CHEBI:58210, ChEBI:CHEBI:142526, ChEBI:CHEBI:142530; Evidence={ECO:0000269|PubMed:36349266}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:58129; Evidence={ECO:0000269|PubMed:36349266};"
A0A9E7LUL3,"CATALYTIC ACTIVITY: Reaction=rhazimol + acetyl-CoA = akuammiline + CoA + H(+); Xref=Rhea:RHEA:79623, ChEBI:CHEBI:15378, ChEBI:CHEBI:57287, ChEBI:CHEBI:57288, ChEBI:CHEBI:141879, ChEBI:CHEBI:230474; EC=2.3.1.322; Evidence={ECO:0000269|PubMed:36349266}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:79624; Evidence={ECO:0000269|PubMed:36349266};"
A0A9E7LUR3,"CATALYTIC ACTIVITY: Reaction=(19E)-geissoschizine + NADP(+) = 4,21-dehydrogeissoschizine + NADPH; Xref=Rhea:RHEA:11376, ChEBI:CHEBI:17037, ChEBI:CHEBI:17294, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.3.1.36; Evidence={ECO:0000269|PubMed:36349266}; PhysiologicalDirection=right-to-left; Xref=Rhea:RHEA:11378; Evidence={ECO:0000269|PubMed:36349266}; CATALYTIC ACTIVITY: Reaction=(19E)-geissoschizine + NADPH + H(+) = (16R,19E)-isositsirikine + NADP(+); Xref=Rhea:RHEA:83839, ChEBI:CHEBI:15378, ChEBI:CHEBI:17037, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349, ChEBI:CHEBI:70508; Evidence={ECO:0000269|PubMed:36349266}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:83840; Evidence={ECO:0000269|PubMed:36349266}; CATALYTIC ACTIVITY: Reaction=(19E)-geissoschizine + NADPH + H(+) = (16R,19Z)-isositsirikine + NADP(+); Xref=Rhea:RHEA:83843, ChEBI:CHEBI:15378, ChEBI:CHEBI:17037, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349, ChEBI:CHEBI:233403; Evidence={ECO:0000269|PubMed:36349266}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:83844; Evidence={ECO:0000269|PubMed:36349266};"
A0A9E7S4M3,"CATALYTIC ACTIVITY: Reaction=(19E)-geissoschizine + reduced [NADPH--hemoprotein reductase] + O2 = rhazimal + oxidized [NADPH--hemoprotein reductase] + 2 H2O + H(+); Xref=Rhea:RHEA:79619, Rhea:RHEA-COMP:11964, Rhea:RHEA-COMP:11965, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17037, ChEBI:CHEBI:57618, ChEBI:CHEBI:58210, ChEBI:CHEBI:230473; EC=1.14.14.187; Evidence={ECO:0000269|PubMed:36349266}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:79620; Evidence={ECO:0000269|PubMed:36349266}; CATALYTIC ACTIVITY: Reaction=(19E)-geissoschizine + reduced [NADPH--hemoprotein reductase] + O2 = akuammicine + formate + oxidized [NADPH--hemoprotein reductase] + H2O + H(+); Xref=Rhea:RHEA:58520, Rhea:RHEA-COMP:11964, Rhea:RHEA-COMP:11965, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:15740, ChEBI:CHEBI:17037, ChEBI:CHEBI:57618, ChEBI:CHEBI:58210, ChEBI:CHEBI:142754; EC=1.14.19.80; Evidence={ECO:0000269|PubMed:36349266}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:58521; Evidence={ECO:0000269|PubMed:36349266};"
A0A9E7S4M4,"CATALYTIC ACTIVITY: Reaction=(19E)-geissoschizine + reduced [NADPH--hemoprotein reductase] + O2 = akuammicine + formate + oxidized [NADPH--hemoprotein reductase] + H2O + H(+); Xref=Rhea:RHEA:58520, Rhea:RHEA-COMP:11964, Rhea:RHEA-COMP:11965, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:15740, ChEBI:CHEBI:17037, ChEBI:CHEBI:57618, ChEBI:CHEBI:58210, ChEBI:CHEBI:142754; EC=1.14.19.80; Evidence={ECO:0000269|PubMed:36349266}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:58521; Evidence={ECO:0000269|PubMed:36349266};"
A0A9E7S518,"CATALYTIC ACTIVITY: Reaction=rhazimol + NADP(+) = rhazimal + NADPH + 2 H(+); Xref=Rhea:RHEA:79615, ChEBI:CHEBI:15378, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349, ChEBI:CHEBI:230473, ChEBI:CHEBI:230474; EC=1.1.1.440; Evidence={ECO:0000269|PubMed:36349266}; PhysiologicalDirection=right-to-left; Xref=Rhea:RHEA:79617; Evidence={ECO:0000269|PubMed:36349266};"
A0A9E7S5B9,"CATALYTIC ACTIVITY: Reaction=rhazimol + NADP(+) = rhazimal + NADPH + 2 H(+); Xref=Rhea:RHEA:79615, ChEBI:CHEBI:15378, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349, ChEBI:CHEBI:230473, ChEBI:CHEBI:230474; EC=1.1.1.440; Evidence={ECO:0000269|PubMed:36349266}; PhysiologicalDirection=right-to-left; Xref=Rhea:RHEA:79617; Evidence={ECO:0000269|PubMed:36349266};"
A0A9E7S5E3,"CATALYTIC ACTIVITY: Reaction=rhazimol + acetyl-CoA = akuammiline + CoA + H(+); Xref=Rhea:RHEA:79623, ChEBI:CHEBI:15378, ChEBI:CHEBI:57287, ChEBI:CHEBI:57288, ChEBI:CHEBI:141879, ChEBI:CHEBI:230474; EC=2.3.1.322; Evidence={ECO:0000269|PubMed:36349266}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:79624; Evidence={ECO:0000269|PubMed:36349266};"
A0A9P4XUZ4,"CATALYTIC ACTIVITY: Reaction=an N(6)-methyladenosine in mRNA + 2-oxoglutarate + O2 = an adenosine in mRNA + formaldehyde + succinate + CO2; Xref=Rhea:RHEA:49520, Rhea:RHEA-COMP:12414, Rhea:RHEA-COMP:12417, ChEBI:CHEBI:15379, ChEBI:CHEBI:16526, ChEBI:CHEBI:16810, ChEBI:CHEBI:16842, ChEBI:CHEBI:30031, ChEBI:CHEBI:74411, ChEBI:CHEBI:74449; EC=1.14.11.53; Evidence={ECO:0000269|PubMed:39611846}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:49521; Evidence={ECO:0000269|PubMed:39611846};"
A0A9P5CQV5,"CATALYTIC ACTIVITY: Reaction=an adenosine in mRNA + S-adenosyl-L-methionine = an N(6)-methyladenosine in mRNA + S-adenosyl-L-homocysteine + H(+); Xref=Rhea:RHEA:55584, Rhea:RHEA-COMP:12414, Rhea:RHEA-COMP:12417, ChEBI:CHEBI:15378, ChEBI:CHEBI:57856, ChEBI:CHEBI:59789, ChEBI:CHEBI:74411, ChEBI:CHEBI:74449; EC=2.1.1.348; Evidence={ECO:0000269|PubMed:39159278, ECO:0000269|PubMed:39611846}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:55585; Evidence={ECO:0000269|PubMed:39159278, ECO:0000269|PubMed:39611846};"
A0A9P5CTI1,"CATALYTIC ACTIVITY: Reaction=a phosphate monoester + H2O = an alcohol + phosphate; Xref=Rhea:RHEA:15017, ChEBI:CHEBI:15377, ChEBI:CHEBI:30879, ChEBI:CHEBI:43474, ChEBI:CHEBI:67140; EC=3.1.3.2; Evidence={ECO:0000250|UniProtKB:P83380};"
A0AA51VIL5,"CATALYTIC ACTIVITY: Reaction=3-methoxytyramine + S-adenosyl-L-methionine = N-methyl-3-methoxytyramine + S-adenosyl-L-homocysteine + H(+); Xref=Rhea:RHEA:81003, ChEBI:CHEBI:15378, ChEBI:CHEBI:57856, ChEBI:CHEBI:59789, ChEBI:CHEBI:192089, ChEBI:CHEBI:231773; Evidence={ECO:0000269|PubMed:37675639}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:81004; Evidence={ECO:0000269|PubMed:37675639}; CATALYTIC ACTIVITY: Reaction=mescaline + S-adenosyl-L-methionine = N-methylmescaline + S-adenosyl-L-homocysteine + H(+); Xref=Rhea:RHEA:81035, ChEBI:CHEBI:15378, ChEBI:CHEBI:57856, ChEBI:CHEBI:59789, ChEBI:CHEBI:231762, ChEBI:CHEBI:231781; Evidence={ECO:0000269|PubMed:37675639}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:81036; Evidence={ECO:0000269|PubMed:37675639}; CATALYTIC ACTIVITY: Reaction=tyramine + S-adenosyl-L-methionine = N-methyltyramine + S-adenosyl-L-homocysteine + H(+); Xref=Rhea:RHEA:14865, ChEBI:CHEBI:15378, ChEBI:CHEBI:57856, ChEBI:CHEBI:58155, ChEBI:CHEBI:59789, ChEBI:CHEBI:327995; EC=2.1.1.27; Evidence={ECO:0000269|PubMed:37675639}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:14866; Evidence={ECO:0000269|PubMed:37675639}; CATALYTIC ACTIVITY: Reaction=4-hydroxy-3,5-dimethoxyphenethylamine + S-adenosyl-L-methionine = N-methyl-4-hydroxy-3,5-dimethoxyphenethylamine + S-adenosyl-L-homocysteine + H(+); Xref=Rhea:RHEA:81027, ChEBI:CHEBI:15378, ChEBI:CHEBI:57856, ChEBI:CHEBI:59789, ChEBI:CHEBI:231768, ChEBI:CHEBI:231777; Evidence={ECO:0000269|PubMed:37675639}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:81028; Evidence={ECO:0000269|PubMed:37675639};"
