Entry,Gene Ontology (cellular component)
P0DRH6,extracellular region [GO:0005576]; membrane [GO:0016020]; other organism cell membrane [GO:0044218]
P0DXG5,cytoplasm [GO:0005737]
P0DXG8,plasma membrane [GO:0005886]
P0DXI6,cytoplasm [GO:0005737]; nucleus [GO:0005634]
P0DXI7,cytoplasm [GO:0005737]; nucleus [GO:0005634]
P0DXI8,cytoplasm [GO:0005737]; nucleus [GO:0005634]
P0DXN9,host cell cytoplasm [GO:0030430]; host cytoskeleton [GO:0044163]
P0DXO2,host cell cytoplasm [GO:0030430]; host cytoskeleton [GO:0044163]
P0DXO3,host cell cytoplasm [GO:0030430]; host cytoskeleton [GO:0044163]
P0DXU4,ATP-binding cassette (ABC) transporter complex [GO:0043190]
P0DXU5,plasma membrane [GO:0005886]
P0DXU6,ATP-binding cassette (ABC) transporter complex [GO:0043190]
P0DXU7,plasma membrane [GO:0005886]
P0DXU8,ATP-binding cassette (ABC) transporter complex [GO:0043190]
P0DXU9,membrane [GO:0016020]
P0DXV0,membrane [GO:0016020]
P0DXV3,cytoplasm [GO:0005737]
P0DXV4,cytoplasm [GO:0005737]
P0DXW0,membrane [GO:0016020]
P0DXW1,membrane [GO:0016020]
P0DXW3,extracellular region [GO:0005576]
P0DXW4,extracellular region [GO:0005576]
P0DXW5,extracellular region [GO:0005576]
P0DXW6,extracellular region [GO:0005576]
P0DXW7,extracellular region [GO:0005576]
P0DXW8,extracellular region [GO:0005576]
P0DXW9,extracellular region [GO:0005576]
P0DXX0,extracellular region [GO:0005576]
P0DXX1,extracellular region [GO:0005576]; membrane [GO:0016020]; other organism cell membrane [GO:0044218]
P0DXX2,extracellular region [GO:0005576]; membrane [GO:0016020]; other organism cell membrane [GO:0044218]
P0DXX3,extracellular region [GO:0005576]
P0DXY9,cytoplasm [GO:0005737]
P0DXZ4,extracellular region [GO:0005576]; membrane [GO:0016020]; other organism cell membrane [GO:0044218]
P0DXZ5,extracellular region [GO:0005576]
P0DXZ6,extracellular region [GO:0005576]
P0DXZ7,extracellular region [GO:0005576]
P0DXZ8,extracellular region [GO:0005576]
P0DXZ9,extracellular region [GO:0005576]
P0DY00,extracellular region [GO:0005576]
P0DY01,extracellular region [GO:0005576]
P0DY02,extracellular region [GO:0005576]
P0DY03,extracellular region [GO:0005576]
P0DY04,extracellular region [GO:0005576]
P0DY19,extracellular region [GO:0005576]
P71888,cytosol [GO:0005829]
P78601,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
P78602,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
P96277,membrane [GO:0016020]; peptidoglycan-based cell wall [GO:0009274]
P9WEG7,membrane [GO:0016020]
P9WEJ4,membrane [GO:0016020]
P9WEJ6,endoplasmic reticulum membrane [GO:0005789]
Q059A4,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
Q06K53,extracellular region [GO:0005576]
Q06K97,extracellular region [GO:0005576]
Q0CPG6,membrane [GO:0016020]
Q0CPG7,membrane [GO:0016020]
Q0CPG9,mitochondrion [GO:0005739]
Q10SS2,endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]
Q177W0,extracellular space [GO:0005615]
Q17NR1,extracellular space [GO:0005615]
Q17NR4,extracellular space [GO:0005615]
Q1I187,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
Q1LZ24,chromatin [GO:0000785]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q1MWN4,cytosol [GO:0005829]
Q1PA41,membrane [GO:0016020]
Q22HI5,membrane [GO:0016020]
Q239Y2,membrane [GO:0016020]
Q2PAY2,nucleus [GO:0005634]
Q2R560,plasma membrane [GO:0005886]
Q2RBS5,cytoplasm [GO:0005737]
Q2TR58,plasma membrane [GO:0005886]
Q2TXQ7,nucleus [GO:0005634]
Q2U3W7,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
Q2U919,nucleus [GO:0005634]
Q31P89,cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
Q388N2,cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
Q3HS86,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
Q3HS87,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
Q47720,cytosol [GO:0005829]; plasma membrane [GO:0005886]
Q4J8Q7,membrane [GO:0016020]
Q4WBR8,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
Q4WC31,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
Q4WD22,plasma membrane [GO:0005886]; side of membrane [GO:0098552]
Q4WEK0,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
Q4WMW2,fungal-type cell wall [GO:0009277]; incipient cellular bud site [GO:0000131]; plasma membrane [GO:0005886]; side of membrane [GO:0098552]
Q4WTH5,cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q4WWM8,cell tip [GO:0051286]
Q4WWR8,cytosol [GO:0005829]; nucleus [GO:0005634]
Q4WXE6,plasma membrane [GO:0005886]; side of membrane [GO:0098552]
Q4WXF4,cytoplasm [GO:0005737]; mitochondrion [GO:0005739]
Q4X055,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
Q53AM4,host cell cytoplasm [GO:0030430]; host cell plasma membrane [GO:0020002]; membrane [GO:0016020]; T=4 icosahedral viral capsid [GO:0039619]; virion membrane [GO:0055036]
Q584D1,kinetoplast [GO:0020023]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
Q59I63,plasma membrane [GO:0005886]
Q5ALM0,cytosol [GO:0005829]; nucleus [GO:0005634]
Q5AVZ1,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
Q5AY40,nucleus [GO:0005634]
Q5AY42,nucleus [GO:0005634]
Q5AZ79,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
Q5BC93,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
Q5EP34,host cell cytoplasm [GO:0030430]; host cell nucleus [GO:0042025]
Q5F676,cell outer membrane [GO:0009279]
Q5F6V8,primosome complex [GO:1990077]
Q5JE51,cytosolic large ribosomal subunit [GO:0022625]
Q5JEV0,ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]
Q5JGN5,cytosolic small ribosomal subunit [GO:0022627]
Q5JHC6,cytoplasm [GO:0005737]
Q5JJG6,cytosolic large ribosomal subunit [GO:0022625]
Q5KIM6,cytosol [GO:0005829]
Q5KPK7,cytosol [GO:0005829]; nucleus [GO:0005634]
Q5SC47,host cell cytoplasm [GO:0030430]
Q5SC49,helical viral capsid [GO:0019029]; host cell cytoplasm [GO:0030430]; ribonucleoprotein complex [GO:1990904]; viral nucleocapsid [GO:0019013]
Q5SC50,host cell cytoplasm [GO:0030430]; virion component [GO:0044423]
Q5SC51,host cell plasma membrane [GO:0020002]; membrane [GO:0016020]; viral envelope [GO:0019031]; virion membrane [GO:0055036]
Q5SC53,host cell plasma membrane [GO:0020002]; membrane [GO:0016020]; viral envelope [GO:0019031]; virion membrane [GO:0055036]
Q5SC54,virion component [GO:0044423]
Q5TVM9,extracellular space [GO:0005615]; plasma membrane [GO:0005886]
Q5U117,cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q68Y81,nucleoplasm [GO:0005654]
Q6J4Q1,endocytic vesicle [GO:0030139]; extracellular space [GO:0005615]; nucleus [GO:0005634]
Q6LZC0,cell surface [GO:0009986]; extracellular region [GO:0005576]; membrane [GO:0016020]
Q6LZM3,cell surface [GO:0009986]; extracellular region [GO:0005576]
Q6LZM4,cell surface [GO:0009986]; extracellular region [GO:0005576]; membrane [GO:0016020]
Q6M0N3,cell surface [GO:0009986]; extracellular region [GO:0005576]; membrane [GO:0016020]
Q6M0N4,cell surface [GO:0009986]; extracellular region [GO:0005576]
Q6M0N7,cell surface [GO:0009986]; extracellular region [GO:0005576]; membrane [GO:0016020]
Q6M0N8,plasma membrane [GO:0005886]
Q6NP91,apical part of cell [GO:0045177]; cytoplasm [GO:0005737]; lysosomal membrane [GO:0005765]; plasma membrane [GO:0005886]
Q6UXT6,plasma membrane [GO:0005886]
Q6XEC0,plasma membrane [GO:0005886]
Q6YD93,extracellular region [GO:0005576]
Q6YF29,extracellular region [GO:0005576]
Q6YF31,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
Q6YF32,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
Q75T84,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
Q7K6A5,food vacuole [GO:0020020]; membrane [GO:0016020]; vacuolar membrane [GO:0005774]
Q7PRX9,extracellular region [GO:0005576]
Q7PYT9,extracellular space [GO:0005615]
Q7S3P5,extracellular region [GO:0005576]
Q7TQN4,chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; NF-kappaB complex [GO:0071159]; NF-kappaB p50/p65 complex [GO:0035525]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; synapse [GO:0045202]; transcription regulator complex [GO:0005667]
Q83XP3,cytosol [GO:0005829]
Q8H305,endoplasmic reticulum [GO:0005783]
Q8I266,membrane [GO:0016020]
Q8I299,membrane [GO:0016020]
Q8I397,mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]
Q8I3M7,membrane [GO:0016020]; plasma membrane [GO:0005886]; vacuolar membrane [GO:0005774]
Q8I4Z1,cytoplasmic vesicle [GO:0031410]; host cell plasma membrane [GO:0020002]; membrane [GO:0016020]
Q8IBB7,plasma membrane [GO:0005886]
Q8IBI5,cytosol [GO:0005829]; mitochondrion [GO:0005739]
Q8IDH9,membrane [GO:0016020]; mitochondrial membrane [GO:0031966]
Q8IEK7,L-cysteine desulfurase complex [GO:1990221]; mitochondrion [GO:0005739]
Q8II12,plasma membrane [GO:0005886]
Q8IIK1,plasma membrane [GO:0005886]
Q8IIR7,endoplasmic reticulum [GO:0005783]
Q8IJI1,membrane [GO:0016020]
Q8IKT4,cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]
Q8IP99,nucleus [GO:0005634]; SAGA complex [GO:0000124]
Q8IPA1,nucleus [GO:0005634]; SAGA complex [GO:0000124]
Q8IPZ3,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q8IQA2,cytoplasm [GO:0005737]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]
Q8LDU1,chloroplast [GO:0009507]
Q8MVC4,extracellular region [GO:0005576]
Q8QV65,host cell plasma membrane [GO:0020002]; membrane [GO:0016020]; viral envelope [GO:0019031]; virion membrane [GO:0055036]
Q8QV69,host cell cytoplasm [GO:0030430]
Q8U0V2,cytoplasm [GO:0005737]
Q8U3G4,cytoplasm [GO:0005737]
Q8X1N0,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
Q8X1T7,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
Q8X1T8,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
Q8X1T9,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
Q90YL6,chromosome [GO:0005694]; RNA polymerase II transcription regulator complex [GO:0090575]
Q95P65,extracellular space [GO:0005615]; plasma membrane [GO:0005886]
Q97U12,cytoplasm [GO:0005737]
Q980C5,cytoplasm [GO:0005737]
Q99YA0,plasma membrane [GO:0005886]
Q9BIM7,membrane [GO:0016020]
Q9C2X0,extracellular region [GO:0005576]
Q9CPU3,membrane [GO:0016020]
Q9CZP3,cytoplasm [GO:0005737]; nucleolus [GO:0005730]; nucleus [GO:0005634]
Q9DQA5,helical viral capsid [GO:0019029]; host cell cytoplasm [GO:0030430]; ribonucleoprotein complex [GO:1990904]; viral nucleocapsid [GO:0019013]
Q9GTP4,plasma membrane [GO:0005886]
Q9GTP5,plasma membrane [GO:0005886]
Q9HDD5,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
Q9HSN1,cytoplasm [GO:0005737]
Q9HUT5,protein-DNA complex [GO:0032993]
Q9J4L4,virion component [GO:0044423]
Q9JAE0,host cell plasma membrane [GO:0020002]; membrane [GO:0016020]; viral envelope [GO:0019031]; virion membrane [GO:0055036]
Q9JN36,cytoplasm [GO:0005737]
Q9K163,cell outer membrane [GO:0009279]
Q9KJT3,plasma membrane [GO:0005886]
Q9KJT4,cytosol [GO:0005829]; protein-DNA complex [GO:0032993]
Q9KN86,periplasmic space [GO:0042597]; plasma membrane [GO:0005886]
Q9KU93,plasma membrane [GO:0005886]
Q9KUL5,periplasmic space [GO:0042597]; plasma membrane [GO:0005886]
Q9KZP3,plasma membrane [GO:0005886]
Q9L391,cytoplasm [GO:0005737]
Q9L392,cytosol [GO:0005829]
Q9L393,cytoplasm [GO:0005737]
Q9LYL8,nucleus [GO:0005634]
Q9NBV4,motile cilium [GO:0031514]; plasma membrane [GO:0005886]
Q9P8S9,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
Q9P8T0,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
Q9VBV8,endomembrane system [GO:0012505]; endoplasmic reticulum membrane [GO:0005789]
Q9VC03,cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; neuromuscular junction [GO:0031594]; neuronal cell body [GO:0043025]; presynaptic active zone [GO:0048786]
Q9VCN9,nucleus [GO:0005634]; SAGA complex [GO:0000124]
Q9VDE8,cytosol [GO:0005829]; nucleus [GO:0005634]
Q9VGE2,histone acetyltransferase complex [GO:0000123]; nucleus [GO:0005634]; SAGA complex [GO:0000124]
Q9VGV8,cytoplasm [GO:0005737]; cytosol [GO:0005829]
Q9VHC5,chromatin [GO:0000785]; cytoplasm [GO:0005737]; histone deacetylase complex [GO:0000118]; nucleus [GO:0005634]
Q9VHK6,cytoplasm [GO:0005737]; mitochondrial [2Fe-2S] assembly complex [GO:0099128]; mitochondrial matrix [GO:0005759]
Q9VJ10,cytoplasm [GO:0005737]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
Q9VJ90,Dbf4-dependent protein kinase complex [GO:0031431]; nucleus [GO:0005634]
Q9VJG4,mitochondrion [GO:0005739]
Q9VLM7,mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]
Q9VMK3,egg chorion [GO:0042600]; extracellular region [GO:0005576]; vitelline envelope [GO:0060388]
Q9VN60,checkpoint clamp complex [GO:0030896]; cytoplasm [GO:0005737]; nucleolus [GO:0005730]; site of double-strand break [GO:0035861]
Q9VPC1,mitochondrion [GO:0005739]
Q9VPF9,integrator complex [GO:0032039]; nucleus [GO:0005634]
Q9VPT4,nucleus [GO:0005634]; SAGA complex [GO:0000124]; SAGA-type complex [GO:0070461]; SLIK (SAGA-like) complex [GO:0046695]; transcription factor TFIID complex [GO:0005669]
Q9VQB6,nucleus [GO:0005634]; polytene chromosome [GO:0005700]; SAGA complex [GO:0000124]; SAGA-type complex [GO:0070461]
Q9VQD4,checkpoint clamp complex [GO:0030896]
Q9VT00,chromatin [GO:0000785]; cytoplasm [GO:0005737]; euchromatin [GO:0000791]; nucleus [GO:0005634]
Q9VU77,cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q9VU86,nucleus [GO:0005634]; SAGA complex [GO:0000124]; SAGA-type complex [GO:0070461]
Q9VX12,nucleus [GO:0005634]; SAGA complex [GO:0000124]
Q9W0M3,cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q9W1H9,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
Q9W2I4,ATAC complex [GO:0140672]; H3 histone acetyltransferase complex [GO:0070775]; nucleus [GO:0005634]; SAGA complex [GO:0000124]
Q9W3Y1,Dbf4-dependent protein kinase complex [GO:0031431]; nucleus [GO:0005634]
Q9WAF5,host cell plasma membrane [GO:0020002]; membrane [GO:0016020]; viral envelope [GO:0019031]; virion membrane [GO:0055036]
Q9Y7G9,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
Q9Y7H0,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
Q9Y8F0,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
Q9Z0L6,extracellular space [GO:0005615]
Q9ZIH2,plasma membrane [GO:0005886]
R4H5E1,extracellular region [GO:0005576]
R9UC00,extracellular region [GO:0005576]
R9UC04,extracellular region [GO:0005576]
R9UC06,extracellular region [GO:0005576]
R9UC10,extracellular region [GO:0005576]
R9UCX1,extracellular region [GO:0005576]
R9UE59,extracellular region [GO:0005576]
R9UE63,extracellular region [GO:0005576]
R9UE65,extracellular region [GO:0005576]
R9UE68,extracellular region [GO:0005576]
R9UFE0,extracellular region [GO:0005576]
R9UFE4,extracellular region [GO:0005576]
R9UFJ8,extracellular region [GO:0005576]
S8EV69,Ndc80 complex [GO:0031262]
S8EXU2,mitochondrial inner membrane [GO:0005743]
S8G033,nucleus [GO:0005634]
U5T7E4,extracellular region [GO:0005576]
V5H924,cytoplasm [GO:0005737]; extracellular space [GO:0005615]; vesicle [GO:0031982]
V9LFM0,cytoplasm [GO:0005737]
V9TNS0,extracellular region [GO:0005576]
V9TS54,extracellular region [GO:0005576]
W1QAK2,endoplasmic reticulum membrane [GO:0005789]; peroxisomal membrane [GO:0005778]
W1QDU5,endoplasmic reticulum membrane [GO:0005789]; peroxisomal membrane [GO:0005778]
W1QET1,cytosol [GO:0005829]
W1QHP2,endoplasmic reticulum membrane [GO:0005789]; peroxisomal membrane [GO:0005778]
W1QL91,endoplasmic reticulum membrane [GO:0005789]; peroxisomal membrane [GO:0005778]
W8NQ71,extracellular region [GO:0005576]
W8NXX4,extracellular region [GO:0005576]
W8P1J0,extracellular region [GO:0005576]
X0JZ91,cytoplasmic vesicle [GO:0031410]; extracellular region [GO:0005576]; host cell [GO:0043657]
