Entry,Transmembrane
J9VTB0,"TRANSMEM 308..328; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 344..364; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 474..494; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 533..553; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 640..660; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 670..690; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 731..751; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 771..791; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 807..827; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 851..871; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 937..957; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1162..1182; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1209..1229; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1244..1264; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1306..1326; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1381..1401; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1422..1442; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1498..1518; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1532..1552; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1561..1581; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1633..1653; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1671..1691; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1722..1742; /note=""Helical""; /evidence=""ECO:0000255"""
O17899,"TRANSMEM 18..41; /note=""Helical; Name=1""; /evidence=""ECO:0000255""; TRANSMEM 48..72; /note=""Helical; Name=2""; /evidence=""ECO:0000255""; TRANSMEM 93..113; /note=""Helical; Name=3""; /evidence=""ECO:0000255""; TRANSMEM 135..154; /note=""Helical; Name=4""; /evidence=""ECO:0000255""; TRANSMEM 176..194; /note=""Helical; Name=5""; /evidence=""ECO:0000255""; TRANSMEM 224..244; /note=""Helical; Name=6""; /evidence=""ECO:0000255""; TRANSMEM 258..282; /note=""Helical; Name=7""; /evidence=""ECO:0000255"""
O76269,"TRANSMEM 27..47; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 82..102; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 109..129; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 136..156; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 173..193; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 209..229; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 333..353; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 361..381; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 395..415; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 427..447; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 460..480; /note=""Helical""; /evidence=""ECO:0000255"""
O76343,"TRANSMEM 27..47; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 82..102; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 109..129; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 136..156; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 173..193; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 209..229; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 333..353; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 361..381; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 395..415; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 427..447; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 460..480; /note=""Helical""; /evidence=""ECO:0000255"""
P0DXJ2,"TRANSMEM 6..26; /note=""Helical; Signal-anchor for type II membrane protein""; /evidence=""ECO:0000255"""
P0DXJ6,"TRANSMEM 1..21; /note=""Helical""; /evidence=""ECO:0000255"""
P0DXU4,"TRANSMEM 58..78; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 85..105; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 150..170; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 171..191; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 198..218; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 252..272; /note=""Helical""; /evidence=""ECO:0000255"""
P0DXU6,"TRANSMEM 38..58; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 73..93; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 124..144; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 156..176; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 182..202; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 244..264; /note=""Helical""; /evidence=""ECO:0000255"""
P0DXU8,"TRANSMEM 27..47; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 59..79; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 109..129; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 142..162; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 168..188; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 225..245; /note=""Helical""; /evidence=""ECO:0000255"""
P0DXU9,"TRANSMEM 3..23; /note=""Helical""; /evidence=""ECO:0000255"""
P0DXV0,"TRANSMEM 41..61; /note=""Helical""; /evidence=""ECO:0000255"""
P0DXW0,"TRANSMEM 5..25; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 81..101; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 115..135; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 151..171; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 182..202; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 229..249; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 269..289; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 305..325; /note=""Helical""; /evidence=""ECO:0000255"""
P0DXW1,"TRANSMEM 5..25; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 72..92; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 111..131; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 149..169; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 177..197; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 222..242; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 267..287; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 298..318; /note=""Helical""; /evidence=""ECO:0000255"""
P0DY23,"TRANSMEM 25..45; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 55..75; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 80..100; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 116..136; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 175..195; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 211..231; /note=""Helical""; /evidence=""ECO:0000255"""
P9WEG0,"TRANSMEM 3..23; /note=""Helical""; /evidence=""ECO:0000255"""
P9WEG5,"TRANSMEM 3..23; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 301..321; /note=""Helical""; /evidence=""ECO:0000255"""
P9WEG7,"TRANSMEM 4..24; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 81..101; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 116..136; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 158..178; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 181..201; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 228..248; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 271..291; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 309..329; /note=""Helical""; /evidence=""ECO:0000255"""
P9WEJ4,"TRANSMEM 53..71; /note=""Helical""; /evidence=""ECO:0000255"""
P9WEJ6,"TRANSMEM 14..34; /note=""Helical""; /evidence=""ECO:0000255"""
Q059A4,"TRANSMEM 70..90; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 96..116; /note=""Helical""; /evidence=""ECO:0000255"""
Q0CPG6,"TRANSMEM 18..38; /note=""Helical""; /evidence=""ECO:0000255"""
Q0CPG7,"TRANSMEM 5..25; /note=""Helical""; /evidence=""ECO:0000255"""
Q10SS2,"TRANSMEM 306..326; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 333..353; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 355..375; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 466..486; /note=""Helical""; /evidence=""ECO:0000255"""
Q1PA41,"TRANSMEM 2709..2729; /note=""Helical""; /evidence=""ECO:0000255"""
Q22HI5,"TRANSMEM 1599..1619; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1662..1682; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1704..1724; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1763..1783; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1796..1816; /note=""Helical""; /evidence=""ECO:0000255"""
Q239Y2,"TRANSMEM 1681..1701; /note=""Helical""; /evidence=""ECO:0000255"""
Q2PAY2,"TRANSMEM 17..40; /note=""Helical""; /evidence=""ECO:0000255"""
Q2R560,"TRANSMEM 478..498; /note=""Helical""; /evidence=""ECO:0000255"""
Q2RBS5,"TRANSMEM 281..301; /note=""Helical""; /evidence=""ECO:0000255"""
Q4J8Q7,"TRANSMEM 6..26; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 300..320; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 337..357; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 373..393; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 416..436; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 439..459; /note=""Helical""; /evidence=""ECO:0000255"""
Q4WD22,"TRANSMEM 337..357; /note=""Helical""; /evidence=""ECO:0000255"""
Q4WXE6,"TRANSMEM 298..318; /note=""Helical""; /evidence=""ECO:0000255"""
Q53AM4,"TRANSMEM 734..754; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 807..827; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 833..853; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1286..1306; /note=""Helical""; /evidence=""ECO:0000255"""
Q584D1,"TRANSMEM 510..528; /note=""Helical""; /evidence=""ECO:0000255"""
Q59I63,"TRANSMEM 371..391; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 409..429; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 444..464; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 472..492; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 531..551; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 564..586; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 596..618; /note=""Helical""; /evidence=""ECO:0000255"""
Q5SC51,"TRANSMEM 35..55; /note=""Helical""; /evidence=""ECO:0000255"""
Q5SC53,"TRANSMEM 483..503; /note=""Helical""; /evidence=""ECO:0000255"""
Q6M0N8,"TRANSMEM 1..21; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 31..51; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 56..76; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 77..97; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 101..121; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 128..148; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 149..169; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 182..202; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 206..226; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 321..341; /note=""Helical""; /evidence=""ECO:0000255"""
Q6NP91,"TRANSMEM 29..49; /note=""Helical; Name=TM0""; /evidence=""ECO:0000255""; TRANSMEM 153..173; /note=""Helical; Name=TM1""; /evidence=""ECO:0000255""; TRANSMEM 200..220; /note=""Helical; Name=TM2""; /evidence=""ECO:0000255""; TRANSMEM 399..419; /note=""Helical; Name=TM3""; /evidence=""ECO:0000255""; TRANSMEM 443..463; /note=""Helical; Name=TM4""; /evidence=""ECO:0000255""; TRANSMEM 479..499; /note=""Helical; Name=TM5""; /evidence=""ECO:0000255""; TRANSMEM 526..546; /note=""Helical; Name=TM6""; /evidence=""ECO:0000255""; TRANSMEM 569..586; /note=""Helical; Name=TM7""; /evidence=""ECO:0000255""; TRANSMEM 590..610; /note=""Helical; Name=TM8""; /evidence=""ECO:0000255""; TRANSMEM 635..665; /note=""Helical; Name=TM9""; /evidence=""ECO:0000255""; TRANSMEM 674..694; /note=""Helical; Name=TM10""; /evidence=""ECO:0000255"""
Q6UXT6,"TRANSMEM 27..47; /note=""Helical; Name=1""; /evidence=""ECO:0000255""; TRANSMEM 59..81; /note=""Helical; Name=2""; /evidence=""ECO:0000255""; TRANSMEM 96..116; /note=""Helical; Name=3""; /evidence=""ECO:0000255""; TRANSMEM 138..158; /note=""Helical; Name=4""; /evidence=""ECO:0000255""; TRANSMEM 204..224; /note=""Helical; Name=5""; /evidence=""ECO:0000255""; TRANSMEM 246..266; /note=""Helical; Name=6""; /evidence=""ECO:0000255""; TRANSMEM 270..290; /note=""Helical; Name=7""; /evidence=""ECO:0000255"""
Q7K6A5,"TRANSMEM 61..81; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 91..111; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 169..189; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 192..212; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 276..296; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 317..337; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 789..809; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 830..850; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 908..928; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 929..949; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 1033..1053; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 1058..1078; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441"""
Q8I266,"TRANSMEM 36..56; /note=""Helical""; /evidence=""ECO:0000269|PubMed:39693420, ECO:0007744|PDB:8V0G, ECO:0007744|PDB:8V12, ECO:0007744|PDB:8V1G""; TRANSMEM 494..514; /note=""Helical""; /evidence=""ECO:0000269|PubMed:39693420, ECO:0007744|PDB:8V0G, ECO:0007744|PDB:8V12, ECO:0007744|PDB:8V1G""; TRANSMEM 525..549; /note=""Helical""; /evidence=""ECO:0000269|PubMed:39693420, ECO:0007744|PDB:8V0G, ECO:0007744|PDB:8V12, ECO:0007744|PDB:8V1G""; TRANSMEM 555..582; /note=""Helical""; /evidence=""ECO:0000269|PubMed:39693420, ECO:0007744|PDB:8V0G, ECO:0007744|PDB:8V12, ECO:0007744|PDB:8V1G""; TRANSMEM 588..619; /note=""Helical""; /evidence=""ECO:0000269|PubMed:39693420, ECO:0007744|PDB:8V0G, ECO:0007744|PDB:8V12, ECO:0007744|PDB:8V1G""; TRANSMEM 623..659; /note=""Helical""; /evidence=""ECO:0000269|PubMed:39693420, ECO:0007744|PDB:8V0G, ECO:0007744|PDB:8V12, ECO:0007744|PDB:8V1G""; TRANSMEM 1075..1098; /note=""Helical""; /evidence=""ECO:0000269|PubMed:39693420, ECO:0007744|PDB:8V0G, ECO:0007744|PDB:8V12, ECO:0007744|PDB:8V1G""; TRANSMEM 1301..1334; /note=""Helical""; /evidence=""ECO:0000269|PubMed:39693420, ECO:0007744|PDB:8V0G, ECO:0007744|PDB:8V12, ECO:0007744|PDB:8V1G""; TRANSMEM 1338..1361; /note=""Helical""; /evidence=""ECO:0000269|PubMed:39693420, ECO:0007744|PDB:8V0G, ECO:0007744|PDB:8V12, ECO:0007744|PDB:8V1G""; TRANSMEM 1368..1394; /note=""Helical""; /evidence=""ECO:0000269|PubMed:39693420, ECO:0007744|PDB:8V0G, ECO:0007744|PDB:8V12, ECO:0007744|PDB:8V1G""; TRANSMEM 1400..1431; /note=""Helical""; /evidence=""ECO:0000269|PubMed:39693420, ECO:0007744|PDB:8V0G, ECO:0007744|PDB:8V12, ECO:0007744|PDB:8V1G""; TRANSMEM 1435..1466; /note=""Helical""; /evidence=""ECO:0000269|PubMed:39693420, ECO:0007744|PDB:8V0G, ECO:0007744|PDB:8V12, ECO:0007744|PDB:8V1G"""
Q8I299,"TRANSMEM 93..113; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 163..183; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 382..402; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 425..445; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 764..784; /note=""Helical""; /evidence=""ECO:0000255"""
Q8I397,"TRANSMEM 32..52; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 730..750; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 795..815; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 845..865; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1111..1131; /note=""Helical""; /evidence=""ECO:0000255"""
Q8I3M7,"TRANSMEM 229..247; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 276..299; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 320..345; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 351..370; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 382..404; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 424..445; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 466..487; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 516..534; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 555..573; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 585..603; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 623..645; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 651..673; /note=""Helical""; /evidence=""ECO:0000255"""
Q8IBB7,"TRANSMEM 58..78; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 89..109; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 122..142; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 146..166; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 192..212; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 216..236; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 266..286; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 300..320; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 326..346; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 352..372; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 405..425; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 431..451; /note=""Helical""; /evidence=""ECO:0000255"""
Q8IDH9,"TRANSMEM 357..377; /note=""Helical""; /evidence=""ECO:0000255, ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 397..419; /note=""Helical""; /evidence=""ECO:0000255, ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 481..501; /note=""Helical""; /evidence=""ECO:0000255, ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 506..526; /note=""Helical""; /evidence=""ECO:0000255, ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 591..611; /note=""Helical""; /evidence=""ECO:0000255, ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 619..639; /note=""Helical""; /evidence=""ECO:0000255, ECO:0000255|PROSITE-ProRule:PRU00441"""
Q8II12,"TRANSMEM 20..40; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 84..104; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 119..139; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 180..200; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 210..230; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 273..293; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 304..324; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 381..401; /note=""Helical""; /evidence=""ECO:0000255"""
Q8IIK1,"TRANSMEM 42..64; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 84..103; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 110..131; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 137..157; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 177..195; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 201..221; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 242..261; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 281..301; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 313..331; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 347..367; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 417..438; /note=""Helical""; /evidence=""ECO:0000255"""
Q8IJI1,"TRANSMEM 5..25; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 46..66; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 74..94; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 179..199; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 239..259; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 264..284; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 296..316; /note=""Helical""; /evidence=""ECO:0000255"""
Q8QV65,"TRANSMEM 35..55; /note=""Helical""; /evidence=""ECO:0000255"""
Q99YA0,"TRANSMEM 1250..1269; /note=""Helical""; /evidence=""ECO:0000255"""
Q9BIM7,"TRANSMEM 604..624; /note=""Helical""; /evidence=""ECO:0000255"""
Q9CPU3,"TRANSMEM 26..46; /note=""Helical""; /evidence=""ECO:0000255"""
Q9GTP4,"TRANSMEM 31..51; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 82..102; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 112..132; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 138..158; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 179..199; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 211..231; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 353..373; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 381..401; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 409..429; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 437..457; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 478..498; /note=""Helical""; /evidence=""ECO:0000255"""
Q9GTP5,"TRANSMEM 27..47; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 78..98; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 108..128; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 136..156; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 173..193; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 209..229; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 338..358; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 362..382; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 401..421; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 433..453; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 466..486; /note=""Helical""; /evidence=""ECO:0000255"""
Q9JAE0,"TRANSMEM 483..503; /note=""Helical""; /evidence=""ECO:0000255"""
Q9KJT3,"TRANSMEM 16..36; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 59..79; /note=""Helical""; /evidence=""ECO:0000255"""
Q9KU93,"TRANSMEM 10..30; /note=""Helical""; /evidence=""ECO:0000255"""
Q9KZP3,"TRANSMEM 29..49; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 60..80; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 117..137; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 158..178; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 179..199; /note=""Helical""; /evidence=""ECO:0000255"""
Q9NBV4,"TRANSMEM 31..51; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 112..132; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 133..153; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 179..199; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 212..232; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 350..370; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 378..398; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 406..426; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 428..448; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 475..495; /note=""Helical""; /evidence=""ECO:0000255"""
Q9VBV8,"TRANSMEM 152..172; /note=""Helical""; /evidence=""ECO:0000255|RuleBase:RU363075""; TRANSMEM 193..223; /note=""Helical""; /evidence=""ECO:0000255|RuleBase:RU363075""; TRANSMEM 229..254; /note=""Helical""; /evidence=""ECO:0000255|RuleBase:RU363075""; TRANSMEM 266..284; /note=""Helical""; /evidence=""ECO:0000255|RuleBase:RU363075""; TRANSMEM 326..348; /note=""Helical""; /evidence=""ECO:0000255|RuleBase:RU363075""; TRANSMEM 360..378; /note=""Helical""; /evidence=""ECO:0000255|RuleBase:RU363075""; TRANSMEM 390..410; /note=""Helical""; /evidence=""ECO:0000255|RuleBase:RU363075""; TRANSMEM 431..452; /note=""Helical""; /evidence=""ECO:0000255|RuleBase:RU363075"""
Q9VJ10,"TRANSMEM 100..116; /note=""Helical""; /evidence=""ECO:0000255"""
Q9VLM7,"TRANSMEM 40..62; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 79..99; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 124..144; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 172..192; /note=""Helical""; /evidence=""ECO:0000255"""
Q9WAF5,"TRANSMEM 35..55; /note=""Helical""; /evidence=""ECO:0000255"""
Q9ZIH2,"TRANSMEM 278..286; /note=""Helical""; /evidence=""ECO:0000269|PubMed:34175341, ECO:0007744|PDB:7NH9""; TRANSMEM 308..323; /note=""Helical""; /evidence=""ECO:0000269|PubMed:34175341, ECO:0007744|PDB:7NH9"""
