Entry,Gene Ontology (molecular function)
A2QQV0,3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; fatty acid synthase activity [GO:0004312]; ligase activity [GO:0016874]; methyltransferase activity [GO:0008168]; phosphopantetheine binding [GO:0031177]
A3C5V6,"acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]; tetraketide alpha-pyrone synthase activity [GO:0090439]"
A3FMN3,DNA nuclease activity [GO:0004536]; double-stranded DNA binding [GO:0003690]; double-stranded RNA binding [GO:0003725]; metal ion binding [GO:0046872]; RNA endonuclease activity [GO:0004521]; single-stranded DNA binding [GO:0003697]; single-stranded DNA endodeoxyribonuclease activity [GO:0000014]
A3KQ86,structural constituent of myelin sheath [GO:0019911]
A3MTR6,carbohydrate derivative binding [GO:0097367]; glucose-6-phosphate isomerase activity [GO:0004347]; mannose-6-phosphate isomerase activity [GO:0004476]
A4LAR6,structural constituent of cell wall [GO:0005199]
A4XXY8,"2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]"
A4XXY9,metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]
A4XXZ0,transaminase activity [GO:0008483]
A5K264,chorismate synthase activity [GO:0004107]; FMN binding [GO:0010181]
A6IPG1,translation elongation factor activity [GO:0003746]
A6TGC5,3'-5' DNA helicase activity [GO:0043138]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; zinc ion binding [GO:0008270]
A6TGW7,single-stranded DNA binding [GO:0003697]
A6THB2,single-stranded DNA binding [GO:0003697]
A7BJ45,toxin activity [GO:0090729]
A7BJ46,toxin activity [GO:0090729]
A7GKX6,"NAD binding [GO:0051287]; oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor [GO:0016628]; UDP-glucose 6-dehydrogenase activity [GO:0003979]"
A7GKX7,NAD+ binding [GO:0070403]; UDP-glucuronate decarboxylase activity [GO:0048040]
A8JUV4,structural constituent of vitelline membrane [GO:0008316]
A8M6W1,"heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]"
A8M6W3,catalytic activity [GO:0003824]; phosphopantetheine binding [GO:0031177]
A8M6W6,"metal ion binding [GO:0046872]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]"
A8P9W4,structural constituent of cell wall [GO:0005199]
A8PA37,structural constituent of cell wall [GO:0005199]
B0BNF8,protein serine/threonine kinase activity [GO:0004674]
B0WQ10,double-stranded DNA endonuclease activity [GO:1990238]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; RNA endonuclease activity [GO:0004521]; single-stranded DNA endodeoxyribonuclease activity [GO:0000014]
B1G5Y9,3-keto-5-aminohexanoate cleavage activity [GO:0043720]; metal ion binding [GO:0046872]
B1PUC6,nucleotide binding [GO:0000166]
B2HG54,"heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]"
B4ER92,3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; fatty acid synthase activity [GO:0004312]; phosphopantetheine binding [GO:0031177]
B4ER95,3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; fatty acid synthase activity [GO:0004312]; phosphopantetheine binding [GO:0031177]
B4ER96,3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; fatty acid synthase activity [GO:0004312]; oxidoreductase activity [GO:0016491]; phosphopantetheine binding [GO:0031177]; zinc ion binding [GO:0008270]
B4ER97,3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; fatty acid synthase activity [GO:0004312]; phosphopantetheine binding [GO:0031177]
B6ZKM3,beta-glucosidase activity [GO:0008422]
B6ZKM4,beta-glucosidase activity [GO:0008422]
B6ZKM5,beta-glucosidase activity [GO:0008422]
B6ZKN1,beta-glucosidase activity [GO:0008422]
B7PCV3,peptidase inhibitor activity [GO:0030414]
B7R4L8,18S rRNA cytidine N-acetyltransferase activity [GO:1990883]; ATP binding [GO:0005524]; mRNA N-acetyltransferase activity [GO:0106162]; rRNA binding [GO:0019843]; tRNA binding [GO:0000049]; tRNA N4-acetyltransferase activity [GO:0051392]
B8NLZ3,metal ion binding [GO:0046872]; protein serine/threonine phosphatase activity [GO:0004722]
B9ZUK6,D-lactate dehydrogenase (cytochrome) activity [GO:0004458]; D-lactate dehydrogenase activity [GO:0008720]; FAD binding [GO:0071949]; lyase activity [GO:0016829]
C0HMB8,sodium channel inhibitor activity [GO:0019871]; toxin activity [GO:0090729]
C0HMB9,sodium channel inhibitor activity [GO:0019871]; toxin activity [GO:0090729]
C0HMC0,sodium channel inhibitor activity [GO:0019871]; toxin activity [GO:0090729]
C0HMC1,sodium channel inhibitor activity [GO:0019871]; toxin activity [GO:0090729]
C0HMC2,sodium channel inhibitor activity [GO:0019871]; toxin activity [GO:0090729]
C0JJA4,ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; mRNA 5'-cap (guanine-N7-)-methyltransferase activity [GO:0004482]; RNA-directed RNA polymerase activity [GO:0003968]
C3W5S0,endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]
C5E4D9,ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; RNA binding [GO:0003723]; translation elongation factor activity [GO:0003746]
C5MR76,isomerase activity [GO:0016853]
C6KT66,chorismate synthase activity [GO:0004107]; FMN binding [GO:0010181]
C6SZ50,FMN binding [GO:0010181]; phosphopantothenoylcysteine decarboxylase activity [GO:0004633]
C6TA59,FMN binding [GO:0010181]; phosphopantothenoylcysteine decarboxylase activity [GO:0004633]
C7M8J6,glycine C-acetyltransferase activity [GO:0008890]; pyridoxal phosphate binding [GO:0030170]
D1A230,dioxygenase activity [GO:0051213]; metal ion binding [GO:0046872]
D1FQ14,collagen binding [GO:0005518]; toxin activity [GO:0090729]
D1MWE7,toxin activity [GO:0090729]
D2VS83,ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; isomerase activity [GO:0016853]
D3KY98,O-methyltransferase activity [GO:0008171]; protein dimerization activity [GO:0046983]
D3KY99,O-methyltransferase activity [GO:0008171]; protein dimerization activity [GO:0046983]
D3KYA0,O-methyltransferase activity [GO:0008171]; protein dimerization activity [GO:0046983]
D3TS87,DNA nuclease activity [GO:0004536]; double-stranded DNA binding [GO:0003690]; double-stranded RNA binding [GO:0003725]; metal ion binding [GO:0046872]; RNA endonuclease activity [GO:0004521]; single-stranded DNA binding [GO:0003697]; single-stranded DNA endodeoxyribonuclease activity [GO:0000014]
D3ZX63,protein homodimerization activity [GO:0042803]
D4A4L4,kinesin binding [GO:0019894]; microtubule binding [GO:0008017]
D4GVA8,ATP hydrolysis activity [GO:0016887]
D4QD81,calcium ion binding [GO:0005509]; serine-type peptidase activity [GO:0008236]
D5LWW7,RNA binding [GO:0003723]; structural molecule activity [GO:0005198]
D5RFM4,diaminopimelate epimerase activity [GO:0008837]
D6RQ66,structural constituent of cell wall [GO:0005199]
D8QCG9,structural constituent of cell wall [GO:0005199]
D8QZ31,"heme binding [GO:0020037]; hydro-lyase activity [GO:0016836]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]"
D8S724,"heme binding [GO:0020037]; hydro-lyase activity [GO:0016836]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]"
E0CZ22,membrane destabilizing activity [GO:0140912]
E0D202,3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; fatty acid synthase activity [GO:0004312]; lyase activity [GO:0016829]; phosphopantetheine binding [GO:0031177]
E0D203,3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; fatty acid synthase activity [GO:0004312]; oxidoreductase activity [GO:0016491]; phosphopantetheine binding [GO:0031177]; zinc ion binding [GO:0008270]
E0D204,3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; fatty acid synthase activity [GO:0004312]; oxidoreductase activity [GO:0016491]; phosphopantetheine binding [GO:0031177]; zinc ion binding [GO:0008270]
E0D205,3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; fatty acid synthase activity [GO:0004312]; phosphopantetheine binding [GO:0031177]
E0D206,3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; fatty acid synthase activity [GO:0004312]; phosphopantetheine binding [GO:0031177]
E0D207,"heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]"
E0D208,S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]
E0D209,DNA binding [GO:0003677]
E0N688,metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]
E1B8U2,RNA binding [GO:0003723]; snRNA methyltransferase activity [GO:0106346]; tRNA (guanine) methyltransferase activity [GO:0016423]; U6 snRNA (guanine-N(2))-methyltransferase activity [GO:0160230]
E1BMV3,calcium ion binding [GO:0005509]
E1BN00,inward rectifier potassium channel activity [GO:0005242]
E6Y8B9,metal ion binding [GO:0046872]; serine-type endopeptidase activity [GO:0004252]
E7FEL0,G protein-coupled receptor activity [GO:0004930]
E7FHH1,"4 iron, 4 sulfur cluster binding [GO:0051539]; aldehyde ferredoxin oxidoreductase activity [GO:0033726]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]"
E7FL15,O-methyltransferase activity [GO:0008171]; protein dimerization activity [GO:0046983]
E9F0C5,"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; zinc ion binding [GO:0008270]"
E9FBT2,structural constituent of cell wall [GO:0005199]
E9FDE9,structural constituent of cell wall [GO:0005199]
E9Q368,RNA binding [GO:0003723]; tRNA (guanine(18)-2'-O)-methyltransferase activity [GO:0141100]
E9Q3D4,D-threo-aldose 1-dehydrogenase activity [GO:0047834]; identical protein binding [GO:0042802]
E9Q3G8,identical protein binding [GO:0042802]; molecular condensate scaffold activity [GO:0140693]; protein-membrane adaptor activity [GO:0043495]; structural constituent of nuclear pore [GO:0017056]; zinc ion binding [GO:0008270]
E9QT94,structural constituent of cell wall [GO:0005199]
F0LJX3,"ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; catalytic activity, acting on DNA [GO:0140097]; DNA binding [GO:0003677]; helicase activity [GO:0004386]"
F1M928,protein binding involved in heterotypic cell-cell adhesion [GO:0086080]; signaling receptor activity [GO:0038023]; signaling receptor binding [GO:0005102]
F2YGR7,ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]
F4JP43,promoter-specific chromatin binding [GO:1990841]
F6K6F3,sodium channel inhibitor activity [GO:0019871]; toxin activity [GO:0090729]
F8AME3,"4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]"
G0RBE3,ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]; RNA endonuclease activity [GO:0004521]; unfolded protein binding [GO:0051082]
G0RT93,metal ion binding [GO:0046872]; protein serine/threonine phosphatase activity [GO:0004722]
G0S1P8,metal ion binding [GO:0046872]; thioredoxin peroxidase activity [GO:0008379]
G0S5S6,unfolded protein binding [GO:0051082]
G0SE11,metal ion binding [GO:0046872]
G0SEG2,5S rRNA binding [GO:0008097]; structural constituent of ribosome [GO:0003735]
G0SF80,rRNA binding [GO:0019843]
G0SHQ2,structural constituent of ribosome [GO:0003735]
G1X456,ATP binding [GO:0005524]; cAMP-dependent protein kinase activity [GO:0004691]
G1X9A9,DNA-binding transcription factor activity [GO:0003700]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; zinc ion binding [GO:0008270]
G1X9E2,G protein-coupled receptor activity [GO:0004930]
G1XJN1,G protein-coupled receptor activity [GO:0004930]
G1XJZ0,G protein-coupled receptor binding [GO:0001664]; G-protein beta/gamma-subunit complex binding [GO:0031683]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; metal ion binding [GO:0046872]
G1XJZ4,ATP binding [GO:0005524]; MAP kinase activity [GO:0004707]; protein serine kinase activity [GO:0106310]
G2QA95,nucleotide binding [GO:0000166]; oxidoreductase activity [GO:0016491]
G2WWH6,metal ion binding [GO:0046872]
G2X0L1,"endo-1,4-beta-xylanase activity [GO:0031176]"
G2X4G1,"endo-1,4-beta-xylanase activity [GO:0031176]"
G2X5X8,"endo-1,4-beta-xylanase activity [GO:0031176]"
G2X8M4,"cellulose binding [GO:0030248]; endo-1,4-beta-xylanase activity [GO:0031176]"
G4MRQ6,mRNA binding [GO:0003729]; N6-methyladenosine-containing RNA reader activity [GO:1990247]
G4MSY9,methyltransferase activity [GO:0008168]; nucleic acid binding [GO:0003676]
G4MYD3,DNA binding [GO:0003677]
G4MZ21,dioxygenase activity [GO:0051213]; metal ion binding [GO:0046872]
G4N954,lyase activity [GO:0016829]
G4NB33,RNA binding [GO:0003723]
G4NBR8,DNA-binding transcription factor activity [GO:0003700]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; zinc ion binding [GO:0008270]
G4NCP4,delta(3)-delta(2)-enoyl-CoA isomerase activity [GO:0004165]
G7IFI7,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity [GO:0003949]
G7LCC3,hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; phosphorelay sensor kinase activity [GO:0000155]
G8JYB2,actin filament binding [GO:0051015]; cadherin binding [GO:0045296]
H9C180,DNA binding [GO:0003677]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]
I0AIT9,"hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; metal ion binding [GO:0046872]"
I1RQE2,metal ion binding [GO:0046872]
I6XA42,"acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]; tRNA binding [GO:0000049]"
I6Y498,ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]
I6YBQ3,sequence-specific DNA binding [GO:0043565]
J4KPV6,structural constituent of cell wall [GO:0005199]
J4UVD7,"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; zinc ion binding [GO:0008270]"
J4W2A8,structural constituent of cell wall [GO:0005199]
J9UD11,nucleoside transmembrane transporter activity [GO:0005337]
J9VI85,pyridoxal phosphate binding [GO:0030170]; threonine synthase activity [GO:0004795]
J9VIL4,calcium channel activity [GO:0005262]
J9VIY8,homoserine O-acetyltransferase activity [GO:0004414]
J9VQZ9,ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; RNA binding [GO:0003723]; translation elongation factor activity [GO:0003746]
J9VS37,aspartate kinase activity [GO:0004072]; ATP binding [GO:0005524]
J9VTB0,high voltage-gated calcium channel activity [GO:0008331]
J9VU26,ATP binding [GO:0005524]; homoserine kinase activity [GO:0004413]
K7WRE1,peptidase inhibitor activity [GO:0030414]
K8ERU3,membrane destabilizing activity [GO:0140912]
K9GHZ3,"endo-1,4-beta-xylanase activity [GO:0031176]"
L0MZ37,odorant binding [GO:0005549]; toxin activity [GO:0090729]
L0MZ46,integrin binding [GO:0005178]; toxin activity [GO:0090729]
L7X735,serine-type endopeptidase inhibitor activity [GO:0004867]
M4MEY9,"cellulose binding [GO:0030248]; endo-1,4-beta-xylanase activity [GO:0031176]"
M4MGK7,"endo-1,4-beta-xylanase activity [GO:0031176]"
M4MLB5,"endo-1,4-beta-xylanase activity [GO:0031176]"
M9PH32,ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]
O05858,DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]
O05910,DNA binding [GO:0003677]
O06550,DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]
O13502,structural constituent of cell wall [GO:0005199]
O13503,structural constituent of cell wall [GO:0005199]
O17899,G protein-coupled receptor activity [GO:0004930]
O24769,hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]
O24770,"4 iron, 4 sulfur cluster binding [GO:0051539]; cobalamin binding [GO:0031419]; isomerase activity [GO:0016853]; metal ion binding [GO:0046872]"
O25828,identical protein binding [GO:0042802]; metal ion binding [GO:0046872]
O33321,sequence-specific DNA binding [GO:0043565]
O51799,isomerase activity [GO:0016853]
O60047,structural constituent of cell wall [GO:0005199]
O60048,structural constituent of cell wall [GO:0005199]
O76269,nucleoside transmembrane transporter activity [GO:0005337]
O76343,nucleoside transmembrane transporter activity [GO:0005337]
O93917,structural constituent of cell wall [GO:0005199]
O96161,"2 iron, 2 sulfur cluster binding [GO:0051537]; 4 iron, 4 sulfur cluster binding [GO:0051539]; iron ion binding [GO:0005506]"
O97297,"2 iron, 2 sulfur cluster binding [GO:0051537]"
P0DXG5,DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]
P0DXG6,oxidoreductase activity [GO:0016491]
P0DXG7,lyase activity [GO:0016829]
P0DXG8,ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]
P0DXI6,hydrolase activity [GO:0016787]
P0DXI7,hydrolase activity [GO:0016787]
P0DXI8,hydrolase activity [GO:0016787]
P0DXI9,ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]
P0DXN8,hydrolase activity [GO:0016787]
P0DXU4,ABC-type transporter activity [GO:0140359]
P0DXU5,ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]
P0DXU6,ABC-type transporter activity [GO:0140359]
P0DXU7,ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]
P0DXU8,ABC-type transporter activity [GO:0140359]
P0DXU9,"heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]"
P0DXV0,"heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]"
P0DXV1,S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]
P0DXV2,S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]
P0DXV3,ligase activity [GO:0016874]; phosphopantetheine binding [GO:0031177]
P0DXV4,ligase activity [GO:0016874]; phosphopantetheine binding [GO:0031177]
P0DXV5,monooxygenase activity [GO:0004497]
P0DXV6,monooxygenase activity [GO:0004497]
P0DXV7,3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; fatty acid synthase activity [GO:0004312]; methyltransferase activity [GO:0008168]; oxidoreductase activity [GO:0016491]; phosphopantetheine binding [GO:0031177]
P0DXV8,3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; fatty acid synthase activity [GO:0004312]; methyltransferase activity [GO:0008168]; oxidoreductase activity [GO:0016491]
P0DXV9,"nucleotide binding [GO:0000166]; oxidoreductase activity, acting on NAD(P)H [GO:0016651]"
P0DXW0,isomerase activity [GO:0016853]
P0DXW1,isomerase activity [GO:0016853]
P0DXW2,oxidoreductase activity [GO:0016491]
P0DXW3,toxin activity [GO:0090729]
P0DXW4,toxin activity [GO:0090729]
P0DXW5,toxin activity [GO:0090729]
P0DXW6,toxin activity [GO:0090729]
P0DXW7,toxin activity [GO:0090729]
P0DXW8,toxin activity [GO:0090729]
P0DXW9,toxin activity [GO:0090729]
P0DXX0,toxin activity [GO:0090729]
P0DXX1,toxin activity [GO:0090729]
P0DXX2,toxin activity [GO:0090729]
P0DXX3,toxin activity [GO:0090729]
P0DXX4,DNA binding [GO:0003677]
P0DXX5,"acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]; tRNA binding [GO:0000049]"
P0DXY9,DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]
P0DXZ4,toxin activity [GO:0090729]
P0DXZ5,potassium channel regulator activity [GO:0015459]; toxin activity [GO:0090729]
P0DXZ6,metal ion binding [GO:0046872]; phospholipase A2 activity [GO:0004623]; toxin activity [GO:0090729]
P0DXZ7,calcium channel regulator activity [GO:0005246]; toxin activity [GO:0090729]
P0DY04,toxin activity [GO:0090729]
P0DY19,hormone activity [GO:0005179]
P71888,sequence-specific DNA binding [GO:0043565]
P78601,structural constituent of cell wall [GO:0005199]
P78602,structural constituent of cell wall [GO:0005199]
P96857,DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]
P9WEG6,oxidoreductase activity [GO:0016491]
P9WEG7,isomerase activity [GO:0016853]
P9WEJ4,mitochondrion autophagosome adaptor activity [GO:0140580]
Q01491,RNA binding [GO:0003723]
Q080S8,metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; oxidoreductase activity [GO:0016491]
Q0CPG6,"heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]"
Q0CPG7,"heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]"
Q0CPG8,trichodiene synthase activity [GO:0045482]
Q0CPG9,"2 iron, 2 sulfur cluster binding [GO:0051537]; dihydroxy-acid dehydratase activity [GO:0004160]; metal ion binding [GO:0046872]"
Q0KAA1,3-keto-5-aminohexanoate cleavage activity [GO:0043720]; metal ion binding [GO:0046872]
Q10SS2,carboxylic ester hydrolase activity [GO:0052689]
Q177W0,serine-type endopeptidase inhibitor activity [GO:0004867]; toxin activity [GO:0090729]
Q1I187,structural constituent of cell wall [GO:0005199]
Q1LZ24,chromatin insulator sequence binding [GO:0043035]; promoter-specific chromatin binding [GO:1990841]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]
Q1MWN4,lyase activity [GO:0016829]; oxidoreductase activity [GO:0016491]; phosphopantetheine binding [GO:0031177]
Q2PAY2,ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]
Q2PAY3,ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]
Q2R560,ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]
Q2RBS5,electron-transferring-flavoprotein dehydrogenase activity [GO:0004174]; flavin adenine dinucleotide binding [GO:0050660]
Q2TR58,beta-lactamase activity [GO:0008800]; penicillin binding [GO:0008658]
Q2TXQ1,O-methyltransferase activity [GO:0008171]
Q2TXQ7,"DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]"
Q2TXQ8,3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; fatty acid synthase activity [GO:0004312]; phosphopantetheine binding [GO:0031177]
Q2TXQ9,O-methyltransferase activity [GO:0008171]
Q2U3W7,structural constituent of cell wall [GO:0005199]
Q2U919,metal ion binding [GO:0046872]; phosphatase activity [GO:0016791]; protein serine/threonine phosphatase activity [GO:0004722]
Q2WE96,"heme binding [GO:0020037]; hydro-lyase activity [GO:0016836]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]"
Q31P89,ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA replication origin binding [GO:0003688]; lipid binding [GO:0008289]
Q388N2,metal ion binding [GO:0046872]; phosphatase activity [GO:0016791]; protein serine/threonine phosphatase activity [GO:0004722]
Q3HS86,structural constituent of cell wall [GO:0005199]
Q3HS87,structural constituent of cell wall [GO:0005199]
Q3J189,metal ion binding [GO:0046872]; spheroidene monooxygenase activity [GO:0043823]
Q47720,ATP binding [GO:0005524]; D-alanine-D-alanine ligase activity [GO:0008716]; metal ion binding [GO:0046872]
Q4J8Q7,glycosyltransferase activity [GO:0016757]
Q4J8R0,ATP binding [GO:0005524]; kinase activity [GO:0016301]
Q4J8R1,"ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; catalytic activity, acting on DNA [GO:0140097]; DNA binding [GO:0003677]; helicase activity [GO:0004386]"
Q4J8R2,"4 iron, 4 sulfur cluster binding [GO:0051539]; class I DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0140078]; DNA N-glycosylase activity [GO:0019104]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]"
Q4WBR8,structural constituent of cell wall [GO:0005199]
Q4WC31,structural constituent of cell wall [GO:0005199]
Q4WD22,"hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]"
Q4WEK0,structural constituent of cell wall [GO:0005199]
Q4WMW2,"glycosyltransferase activity [GO:0016757]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]"
Q4WTH5,metal ion binding [GO:0046872]; protein serine/threonine phosphatase activity [GO:0004722]
Q4WWM8,guanyl-nucleotide exchange factor activity [GO:0005085]
Q4WWR8,aspartate-semialdehyde dehydrogenase activity [GO:0004073]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; protein dimerization activity [GO:0046983]
Q4WXE6,"hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]"
Q4WXF4,glycine hydroxymethyltransferase activity [GO:0004372]; pyridoxal phosphate binding [GO:0030170]
Q4X055,structural constituent of cell wall [GO:0005199]
Q53AM4,serine-type endopeptidase activity [GO:0004252]; structural molecule activity [GO:0005198]
Q584D1,cardiolipin synthase activity [GO:0008808]
Q58T34,ATP binding [GO:0005524]; fucokinase activity [GO:0050201]; nucleotidyltransferase activity [GO:0016779]
Q59I63,G protein-coupled receptor activity [GO:0004930]
Q5ALM0,aspartate-semialdehyde dehydrogenase activity [GO:0004073]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; protein dimerization activity [GO:0046983]
Q5AV79,"hydrolase activity, acting on ester bonds [GO:0016788]"
Q5AVZ1,structural constituent of cell wall [GO:0005199]
Q5AY37,hydrolase activity [GO:0016787]
Q5AY39,fatty acid synthase activity [GO:0004312]; methyltransferase activity [GO:0008168]; oxidoreductase activity [GO:0016491]; phosphopantetheine binding [GO:0031177]; zinc ion binding [GO:0008270]
Q5AY40,"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; transcription cis-regulatory region binding [GO:0000976]; zinc ion binding [GO:0008270]"
Q5AY42,"DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]"
Q5AZ79,structural constituent of cell wall [GO:0005199]
Q5BC93,structural constituent of cell wall [GO:0005199]
Q5EP34,endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]
Q5F676,metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]
Q5F6V8,3'-5' DNA helicase activity [GO:0043138]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; zinc ion binding [GO:0008270]
Q5F9Y4,peptidase activity [GO:0008233]
Q5JE51,large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]; zinc ion binding [GO:0008270]
Q5JFE2,zinc ion binding [GO:0008270]
Q5JFH3,zinc ion binding [GO:0008270]
Q5JGN5,RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
